Papier / Concept,Notes en Français (Originales),Traduction en Anglais
Diffusion et token meta,l'image est faite complètement lors de l'attention avec patch de vae et diffusion unet et le modèle switch entre text et Diffusion à partir de tokens pour la génération ,"the image is generated completely during attention with VAE patch and Diffusion UNet, and the model switches between text and Diffusion based on tokens for generation"
Diffusion avec attention et latent,"c'est de la cross attention avec le texte, un latent vae pour les perfs et un unet avec du transformer pour prédire le noise ","it's cross-attention with text, a latent VAE for performance, and a UNet with a transformer to predict the noise"
Xformers,pas forcément fou à lire ,not necessarily essential reading
Mlir pour les compilers,lire le diapo intro de Google ,read the Google intro slide deck
Autogen et autogen studio,plusieurs interactions d'agents pour augmenter les performances : à tester avec l'ui [cite: 261],multiple agent interactions to increase performance: to test with the UI [cite: 261]
Text2sql is not ennough,en gros utilise le LLM dans la query sous forme d'agent [cite: 261],basically use the LLM in the query as an agent
ReMamba,double forward pour sélectionner les latents intéressants pour la query [cite: 261],double forward to select interesting latents for the query
Spéculative decoding,"on utilise un petit modèle de façon itérative pour c tokens puis on prédit de façon batchée les x séquences, si le même mot est prédit par le gros c'est bon [cite: 261]","we use a small model iteratively for c tokens, then we predict the x sequences in a batched manner; if the same word is predicted by the large model, it's good"
Whisper,concept compris mais pourquoi pas lire le papier [cite: 261],concept understood but why not read the paper
Agentic rag for time series analysis,pas très intéressant [cite: 261],not very interesting
Kosmos,mais que anglais [cite: 261],but English only
Training de llama 3.1,par le mec de LinkedIn [cite: 262],by the guy from LinkedIn
Quiet star,on raisonne lorsqu'il y a des tokens thought et on sample dans les logits pour pas faire trop de compute [cite: 262],we reason when there are thought tokens and we sample in the logits to avoid too much computation
Lets verify step by step,c'est mieux de juger une réponse avec un process plutôt que outcome pour un générateur. [cite: 262],it's better to judge a response with a process rather than an outcome for a generator. [cite: 262]
Active learning,performe mieux pour le reward model sur les cas difficiles [cite: 263],performs better for the reward model on difficult cases
Tree of thought,,
Agent q,"prompt react et thought, dpo sur le prompt et agent avec vision qui critique le choix des actions + tree search pour améliorer les perfs et itérations [cite: 263]","prompt react and thought, DPO on the prompt and agent with vision that critiques the choice of actions + tree search to improve performance and iterations"
Yarn (RoPE),rope est en fait sur q et k donc que au niveau du softmax de l'attention pas la value [cite: 263],"RoPE is actually on q and k, so only at the attention softmax level, not the value"
Position interpolation,on multiplie la position m par L/L′[cite: 263]. Problème pour les tokens très proches (High frequency) [cite: 264],we multiply the position m by L/L′[cite: 263]. Problem for very close tokens (High frequency) [cite: 264]
Ntk aware,on remplace la fréquence par une constante dépendante du ratio L/L′[cite: 264]. Out of band (on peut faire plus de 1 tour) + on traite toutes les dimensions pareil alors que le NN non [cite: 264],we replace the frequency with a constant dependent on the ratio L/L′[cite: 264]. Out of bond (we can do more than 1 rotation) + we treat all dimensions the same while the NN does not [cite: 264]
